	AreaRatio	norm_SoilWatVol
0	1.0	0.9991678516304598
1	1.0	0.9983404588047972
2	0.999607329842932	0.9975177049142594
3	0.9960732984293194	0.9966996271318784
4	0.9803664921465969	0.9958879910998222
5	0.9554973821989529	0.995088390616906
6	0.9329842931937172	0.9943082062691874
7	0.9133507853403141	0.9935517294055265
8	0.8997382198952879	0.9928174779401039
9	0.8846858638743456	0.9921043897520817
10	0.8735602094240837	0.9914091388812097
11	0.862434554973822	0.9907305736770139
12	0.8476439790575916	0.9900665728696812
13	0.8352094240837696	0.9894171383735112
14	0.8231675392670157	0.9887832872237786
15	0.8086387434554974	0.9881631729632206
16	0.7967277486910995	0.987556314089893
17	0.7808900523560209	0.9869620792942798
18	0.7702879581151832	0.9863796409434403
19	0.756151832460733	0.9858100036920413
20	0.7429319371727748	0.9852517740632445
21	0.731282722513089	0.9847052872469568
22	0.7210732984293193	0.9841693311422085
23	0.7103403141361256	0.9836444071839058
24	0.6982984293193717	0.983129358019151
25	0.687434554973822	0.9826236870565636
26	0.6759162303664922	0.9821283777229652
27	0.6646596858638744	0.9816427012383624
28	0.6543193717277487	0.9811663001599986
29	0.6443717277486911	0.9806995077786873
30	0.6345549738219896	0.9802410234556097
31	0.6243455497382199	0.9797908654355864
32	0.6112565445026178	0.979348456774783
33	0.6035340314136126	0.978913983634962
34	0.5930628272251309	0.9784873935844415
35	0.5844240837696335	0.9780677691354532
36	0.5755235602094241	0.9776553767394107
37	0.5667539267015707	0.9772490933673328
38	0.5583769633507853	0.9768489134784154
39	0.5485602094240838	0.9764541506836584
40	0.5396596858638744	0.9760654915014412
41	0.5325916230366492	0.9756830525544509
42	0.5243455497382199	0.97530615220601
43	0.5166230366492146	0.974934697373297
44	0.5071989528795812	0.9745684899279767
45	0.49698952879581154	0.9742077194604286
46	0.4900523560209424	0.9738526458777336
47	0.48337696335078534	0.9735029676483506
48	0.47290575916230365	0.9731590475927453
49	0.4666230366492147	0.9728198844387433
50	0.4594240837696335	0.9724859987435599
51	0.45078534031413614	0.9721573363128027
52	0.4442408376963351	0.9718336022516918
53	0.43023560209424083	0.9715148275367472
54	0.42539267015706805	0.9712007430385683
55	0.418848167539267	0.9708913394826245
56	0.4143979057591623	0.9705861331888843
57	0.40536649214659687	0.9702851475032439
58	0.40104712041884816	0.969988088724393
59	0.3968586387434555	0.9696947668404491
60	0.3900523560209424	0.9694051983340627
61	0.3866492146596859	0.9691188991551369
62	0.3798429319371728	0.9688359843791147
63	0.3729057591623037	0.9685561788938263
64	0.3662303664921466	0.9682794407511393
65	0.362303664921466	0.9680059814293163
66	0.35942408376963353	0.9677356104784713
67	0.3553664921465969	0.9674682689256848
68	0.35235602094240837	0.9672035600271824
69	0.3472513089005236	0.9669416602814039
70	0.3417539267015707	0.9666821402690733
71	0.33782722513089003	0.9664252906130731
72	0.33403141361256544	0.9661710730943034
73	0.32827225130890053	0.9659194708590855
74	0.325261780104712	0.9656705358566826
75	0.3225130890052356	0.965424479107884
76	0.3010471204188482	0.9651811868661443
77	0.2975130890052356	0.964940573702752
78	0.293979057591623	0.9647028937395158
79	0.28992146596858637	0.9644680302103791
80	0.2861256544502618	0.9642361400051164
81	0.24594240837696335	0.9640071713720147
82	0.24293193717277486	0.9637808619936238
83	0.23913612565445025	0.9635571239560107
84	0.23769633507853402	0.9633358588628065
85	0.23586387434554973	0.9631168812154729
86	0.23363874345549737	0.962900233463766
87	0.23075916230366492	0.9626859016969557
88	0.22853403141361256	0.9624737714836388
89	0.2268324607329843	0.9622640245618574
90	0.22356020942408378	0.9620566001477128
91	0.22146596858638742	0.9618512752051448
92	0.2181937172774869	0.9616478006327729
93	0.21505235602094241	0.9614462423431336
94	0.20798429319371728	0.961246509235357
95	0.20772251308900525	0.9610488570356384
96	0.20680628272251309	0.9608534307132378
97	0.206151832460733	0.960659936616941
98	0.20510471204188482	0.9604682533527579
99	0.20301047120418847	0.9602781608298542
100	0.20222513089005237	0.9600895974574211
101	0.20052356020942408	0.9599029698382217
102	0.19986910994764398	0.9597180804731246
103	0.19842931937172775	0.9595351344794063
104	0.19764397905759162	0.9593539111252297
105	0.19594240837696336	0.9591743380564993
106	0.19515706806282723	0.9589963667871153
107	0.19031413612565445	0.9588199975936817
108	0.18900523560209423	0.9586449510831947
109	0.18664921465968587	0.9584714101379637
110	0.18390052356020942	0.9582991370939703
111	0.1831151832460733	0.9581284393223215
112	0.18232984293193719	0.9579593005246155
113	0.18023560209424083	0.9577916057605711
114	0.17905759162303664	0.9576252995106
115	0.17683246073298428	0.9574603880594208
116	0.17657068062827225	0.9572966812385053
117	0.1742146596858639	0.9571343531073915
118	0.15968586387434555	0.9569733423447532
119	0.15772251308900523	0.9568136845243391
120	0.15667539267015707	0.9566553185423746
121	0.15536649214659687	0.9564983551668221
122	0.15458115183246074	0.956342686107266
123	0.1511780104712042	0.9561884220757044
124	0.1506544502617801	0.9560352911611947
125	0.149869109947644	0.9558833792572475
126	0.1493455497382199	0.9557325449544448
127	0.1480366492146597	0.9555828087113931
128	0.14712041884816754	0.9554342031002141
129	0.14620418848167538	0.9552865449603245
130	0.14554973821989528	0.9551398848583389
131	0.14384816753926702	0.9549942348484163
132	0.14280104712041886	0.954849616719578
133	0.14149214659685863	0.9547058838866047
134	0.13979057591623037	0.9545630273245361
135	0.1388743455497382	0.9544211589727524
136	0.1380890052356021	0.9542802099539792
137	0.13730366492146598	0.954140242328229
138	0.13664921465968585	0.9540012021756455
139	0.1354712041884817	0.9538630897998556
