Timestep,Cell_1,Cell_2,Cell_3
140,0.024595585,0.1086641,0.251304941
141,0.024005291,0.106646455,0.247881561
142,0.023429164,0.104663067,0.244491918
143,0.022866864,0.102713454,0.241136026
144,0.022318059,0.100797136,0.237813884
145,0.021782426,0.098913638,0.234525482
146,0.021259647,0.097062489,0.231270798
147,0.020749416,0.095243221,0.228049798
148,0.02025143,0.093455369,0.224862441
149,0.019765396,0.091698475,0.221708671
150,0.019291026,0.089972081,0.218588426
151,0.018828041,0.088275735,0.215501634
152,0.018376168,0.086608991,0.212448212
153,0.01793514,0.084971403,0.209428071
154,0.017504697,0.083362533,0.206441111
155,0.017084584,0.081781945,0.203487225
156,0.016674554,0.080229208,0.200566298
157,0.016274365,0.078703896,0.197678208
158,0.01588378,0.077205588,0.194822825
159,0.01550257,0.075733864,0.192000011
160,0.015130508,0.074288313,0.189209623
161,0.014767376,0.072868526,0.186451512
162,0.014412959,0.071474098,0.18372552
163,0.014067048,0.070104631,0.181031486
164,0.013729439,0.068759729,0.178369242
165,0.013399932,0.067439002,0.175738613
166,0.013078334,0.066142064,0.173139423
167,0.012764454,0.064868535,0.170571486
168,0.012458107,0.063618037,0.168034615
169,0.012159112,0.062390198,0.165528617
170,0.011867293,0.061184652,0.163053295
171,0.011582478,0.060001036,0.160608448
172,0.011304499,0.05883899,0.15819387
173,0.011033191,0.057698163,0.155809353
174,0.010768394,0.056578203,0.153454684
175,0.010509953,0.055478768,0.151129649
176,0.010257714,0.054399516,0.148834028
177,0.010011529,0.053340113,0.146567599
178,0.009771252,0.052300227,0.14433014
179,0.009536742,0.051279532,0.142121422
180,0.00930786,0.050277705,0.139941216
181,0.009084472,0.049294428,0.137789292
182,0.008866444,0.048329389,0.135665415
183,0.00865365,0.047382279,0.133569351
184,0.008445962,0.046452792,0.131500861
185,0.008243259,0.045540628,0.129459707
186,0.008045421,0.044645491,0.12744565
187,0.007852331,0.043767089,0.125458446
188,0.007663875,0.042905135,0.123497853
189,0.007479942,0.042059345,0.121563628
190,0.007300423,0.041229439,0.119655525
191,0.007125213,0.040415143,0.117773299
192,0.006954208,0.039616184,0.115916703
193,0.006787307,0.038832297,0.114085491
194,0.006624412,0.038063217,0.112279414
195,0.006465426,0.037308686,0.110498225
196,0.006310255,0.036568448,0.108741677
197,0.006158809,0.035842251,0.107009519
198,0.006010998,0.035129848,0.105301505
199,0.005866734,0.034430996,0.103617385
200,0.005725932,0.033745454,0.101956912
201,0.00558851,0.033072985,0.100319837
202,0.005454386,0.032413358,0.098705912
203,0.00532348,0.031766342,0.097114891
204,0.005195717,0.031131714,0.095546526
205,0.00507102,0.03050925,0.09400057
206,0.004949315,0.029898732,0.092476778
207,0.004830532,0.029299946,0.090974905
208,0.004714599,0.02871268,0.089494706
209,0.004601449,0.028136726,0.088035938
210,0.004491014,0.02757188,0.086598357
211,0.004383229,0.027017939,0.085181721
212,0.004278032,0.026474706,0.08378579
213,0.004175359,0.025941986,0.082410324
214,0.004075151,0.025419587,0.081055084
215,0.003977347,0.02490732,0.079719832
216,0.003881891,0.024405001,0.078404332
217,0.003788725,0.023912446,0.077108348
218,0.003697796,0.023429477,0.075831646
219,0.003609049,0.022955917,0.074573994
220,0.003522432,0.022491592,0.073335161
221,0.003437893,0.022036332,0.072114915
222,0.003355384,0.021589969,0.070913029
223,0.003274855,0.021152339,0.069729275
224,0.003196258,0.02072328,0.068563429
225,0.003119548,0.020302631,0.067415265
226,0.003044679,0.019890237,0.066284562
