,date,hour,day_month,P,Qse,Qgw,model_m3hr,model_mhr,storageRatio,areaRatio,observ_mh
1249,2017-05-23,00:00:00,23-May,0.0,0.0,1098.2134464747103,1098.2134464747103,0.00012623868572615786,0.9521043384674029,0.33763264820018063,5.796000000000001e-05
1250,2017-05-23,01:00:00,23-May,0.0,0.0,1098.1163837929244,1098.1163837929244,0.00012622752845484504,0.9519640856420435,0.3366260010285559,5.796000000000001e-05
1251,2017-05-23,02:00:00,23-May,0.0,0.0,1098.0193239705955,1098.0193239705955,0.00012621637151222432,0.9518238452132869,0.3356162667148871,5.796000000000001e-05
1252,2017-05-23,03:00:00,23-May,0.0,0.0,1097.9222670078082,1097.9222670078082,0.00012620521489830545,0.9516836171807681,0.33407443389008085,6.012e-05
1253,2017-05-23,04:00:00,23-May,0.0,0.0,1097.8252129046468,1097.8252129046468,0.0001261940586130981,0.9515434015441218,0.3315995314703701,5.796000000000001e-05
1254,2017-05-23,05:00:00,23-May,0.0,0.0,1097.7281616611956,1097.7281616611956,0.00012618290265661194,0.9514031983029826,0.3294482406061975,5.796000000000001e-05
1255,2017-05-23,06:00:00,23-May,0.0,0.0,1097.6311132775386,1097.6311132775386,0.00012617174702885667,0.9512630074569853,0.328344594887075,6.012e-05
1256,2017-05-23,07:00:00,23-May,0.0,0.0,1097.5340677537604,1097.5340677537604,0.000126160591729842,0.9511228290057647,0.32709999466543976,6.012e-05
1257,2017-05-23,08:00:00,23-May,0.0,0.0,1097.4370250899449,1097.4370250899449,0.00012614943675957755,0.9509826629489556,0.3248357992273036,6.012e-05
1258,2017-05-23,09:00:00,23-May,0.0,0.0,1097.3399852861767,1097.3399852861767,0.00012613828211807307,0.9508425092861926,0.3225988558455737,5.796000000000001e-05
1259,2017-05-23,10:00:00,23-May,0.0,0.0,1097.24294834254,1097.24294834254,0.00012612712780533825,0.9507023680171104,0.32171314722806993,5.796000000000001e-05
1260,2017-05-23,11:00:00,23-May,0.0,0.0,1097.145914259119,1097.145914259119,0.00012611597382138274,0.9505622391413437,0.3208275169377177,5.796000000000001e-05
1261,2017-05-23,12:00:00,23-May,0.0,0.0,1097.0488830359984,1097.0488830359984,0.00012610482016621626,0.9504221226585272,0.31993183694167554,5.58e-05
1262,2017-05-23,13:00:00,23-May,0.0,0.0,1096.9518546732622,1096.9518546732622,0.00012609366683984853,0.9502820185682955,0.31903547434199575,5.328e-05
1263,2017-05-23,14:00:00,23-May,0.0,0.0,1096.854829170995,1096.854829170995,0.0001260825138422892,0.9501419268702834,0.3017322066215958,5.1479999999999995e-05
1264,2017-05-23,15:00:00,23-May,0.0,0.0,1096.7578065292805,1096.7578065292805,0.00012607136117354797,0.9500018475641254,0.28159481347089865,5.1479999999999995e-05
1265,2017-05-23,16:00:00,23-May,0.0,0.0,1096.660786748204,1096.660786748204,0.00012606020883363457,0.9498617806494563,0.27643748879838864,4.932e-05
1266,2017-05-23,17:00:00,23-May,0.0,0.0,1096.563769827849,1096.563769827849,0.00012604905682255866,0.9497217261259104,0.2753234715068475,4.4999999999999996e-05
1267,2017-05-23,18:00:00,23-May,0.0,0.0,1096.4667557683003,1096.4667557683003,0.00012603790514032994,0.9495816839931226,0.2743742231996027,4.4999999999999996e-05
1268,2017-05-23,19:00:00,23-May,0.0,0.0,1096.3697445696423,1096.3697445696423,0.00012602675378695815,0.9494416542507276,0.2734846937843472,4.4999999999999996e-05
1269,2017-05-23,20:00:00,23-May,0.0,0.0,1096.2727362319592,1096.2727362319592,0.00012601560276245293,0.9493016368983597,0.27264654234697333,4.4999999999999996e-05
1270,2017-05-23,21:00:00,23-May,0.0,0.0,1096.1757307553355,1096.1757307553355,0.000126004452066824,0.9491616319356536,0.27183125221332904,4.4999999999999996e-05
1271,2017-05-23,22:00:00,23-May,0.0,0.0,1096.0787281398557,1096.0787281398557,0.00012599330170008112,0.949021639362244,0.27080182543387005,4.4999999999999996e-05
1272,2017-05-23,23:00:00,23-May,0.0,0.0,1095.9817283856037,1095.9817283856037,0.0001259821516622339,0.9488816591777652,0.26966320671721233,4.716e-05
1273,2017-05-24,00:00:00,24-May,0.0,0.0,1095.8847314926645,1095.8847314926645,0.00012597100195329208,0.948741691381852,0.2688112872953885,4.716e-05
1274,2017-05-24,01:00:00,24-May,0.0,0.0,1095.7877374611223,1095.7877374611223,0.0001259598525732654,0.9486017359741389,0.2681184918710751,4.716e-05
1275,2017-05-24,02:00:00,24-May,0.0,0.0,1095.6907462910615,1095.6907462910615,0.0001259487035221635,0.9484617929542601,0.2673828834877305,4.716e-05
1276,2017-05-24,03:00:00,24-May,0.0,0.0,1095.5937579825663,1095.5937579825663,0.00012593755479999613,0.9483218623218506,0.2666227480314178,4.932e-05
