,date,time,observed_flow,Q,qo,qs
1,5/1/2014,12:00:00 AM,0.000246,0.000120321,2.43E-05,9.60E-05
2,5/1/2014,1:00:00 AM,0.000264,0.000147909,4.57E-05,0.000102162
3,5/1/2014,2:00:00 AM,0.000264,0.00016542,5.00E-05,0.000115445
4,5/1/2014,3:00:00 AM,0.000291,0.000230867,0.000106487,0.00012438
5,5/1/2014,4:00:00 AM,0.000321,0.000147463,3.29E-06,0.000144169
6,5/1/2014,5:00:00 AM,0.000352,0.000143481,0,0.000143481
7,5/1/2014,6:00:00 AM,0.000385,0.000142115,0,0.000142115
8,5/1/2014,7:00:00 AM,0.000418,0.000142183,1.41E-06,0.000140775
9,5/1/2014,8:00:00 AM,0.000454,0.000204518,6.48E-05,0.000139748
10,5/1/2014,9:00:00 AM,0.000479,0.000232367,8.01E-05,0.000152227
11,5/1/2014,10:00:00 AM,0.000533,0.000172747,3.29E-06,0.000169454
12,5/1/2014,11:00:00 AM,0.000576,0.000171653,3.29E-06,0.00016836
13,5/1/2014,12:00:00 PM,0.000619,0.000254013,8.67E-05,0.000167286
14,5/1/2014,1:00:00 PM,0.000634,0.000187833,0,0.000187833
15,5/1/2014,2:00:00 PM,0.000662,0.000185496,0,0.000185496
16,5/1/2014,3:00:00 PM,0.000713,0.000183216,0,0.000183216
17,5/1/2014,4:00:00 PM,0.000745,0.000180991,0,0.000180991
18,5/1/2014,5:00:00 PM,0.00076,0.000178821,0,0.000178821
19,5/1/2014,6:00:00 PM,0.00076,0.000176702,0,0.000176702
20,5/1/2014,7:00:00 PM,0.00076,0.000174632,0,0.000174632
21,5/1/2014,8:00:00 PM,0.000745,0.000172611,0,0.000172611
22,5/1/2014,9:00:00 PM,0.000713,0.000170636,0,0.000170636
23,5/1/2014,10:00:00 PM,0.00068,0.000168706,0,0.000168706
24,5/1/2014,11:00:00 PM,0.00076,0.000166819,0,0.000166819
25,5/2/2014,12:00:00 AM,0.000864,0.000164974,0,0.000164974
26,5/2/2014,1:00:00 AM,0.000864,0.00016317,0,0.00016317
27,5/2/2014,2:00:00 AM,0.000796,0.000161404,0,0.000161404
28,5/2/2014,3:00:00 AM,0.000745,0.000159677,0,0.000159677
29,5/2/2014,4:00:00 AM,0.000662,0.000160467,2.48E-06,0.000157986
30,5/2/2014,5:00:00 AM,0.000619,0.0001569,0,0.0001569
31,5/2/2014,6:00:00 AM,0.000576,0.000155267,0,0.000155267
32,5/2/2014,7:00:00 AM,0.000547,0.000153668,0,0.000153668
33,5/2/2014,8:00:00 AM,0.000508,0.000152102,0,0.000152102
34,5/2/2014,9:00:00 AM,0.000493,0.000150568,0,0.000150568
35,5/2/2014,10:00:00 AM,0.000454,0.000149064,0,0.000149064
36,5/2/2014,11:00:00 AM,0.000454,0.00014759,0,0.00014759
37,5/2/2014,12:00:00 PM,0.000454,0.000146145,0,0.000146145
38,5/2/2014,1:00:00 PM,0.000454,0.000144728,0,0.000144728
39,5/2/2014,2:00:00 PM,0.000454,0.000143338,0,0.000143338
40,5/2/2014,3:00:00 PM,0.000479,0.000141975,0,0.000141975
41,5/2/2014,4:00:00 PM,0.000493,0.000140637,0,0.000140637
42,5/2/2014,5:00:00 PM,0.000493,0.000139325,0,0.000139325
43,5/2/2014,6:00:00 PM,0.000493,0.000138037,0,0.000138037
44,5/2/2014,7:00:00 PM,0.000493,0.000136772,0,0.000136772
45,5/2/2014,8:00:00 PM,0.000493,0.000135531,0,0.000135531
46,5/2/2014,9:00:00 PM,0.000479,0.000134312,0,0.000134312
47,5/2/2014,10:00:00 PM,0.000454,0.000133115,0,0.000133115
48,5/2/2014,11:00:00 PM,0.000443,0.000131939,0,0.000131939
49,5/3/2014,12:00:00 AM,0.000418,0.000130783,0,0.000130783
50,5/3/2014,1:00:00 AM,0.000396,0.000129648,0,0.000129648
51,5/3/2014,2:00:00 AM,0.000385,0.000128532,0,0.000128532
52,5/3/2014,3:00:00 AM,0.000364,0.000127435,0,0.000127435
53,5/3/2014,4:00:00 AM,0.000352,0.000126357,0,0.000126357
54,5/3/2014,5:00:00 AM,0.000352,0.000125297,0,0.000125297
55,5/3/2014,6:00:00 AM,0.000341,0.000124255,0,0.000124255
56,5/3/2014,7:00:00 AM,0.000321,0.00012323,0,0.00012323
57,5/3/2014,8:00:00 AM,0.000321,0.000122222,0,0.000122222
58,5/3/2014,9:00:00 AM,0.000311,0.00012123,0,0.00012123
59,5/3/2014,10:00:00 AM,0.000311,0.000120254,0,0.000120254
60,5/3/2014,11:00:00 AM,0.000311,0.000119294,0,0.000119294
61,5/3/2014,12:00:00 PM,0.000311,0.000118349,0,0.000118349
62,5/3/2014,1:00:00 PM,0.000321,0.000117419,0,0.000117419
63,5/3/2014,2:00:00 PM,0.000341,0.000116503,0,0.000116503
64,5/3/2014,3:00:00 PM,0.000341,0.000115602,0,0.000115602
65,5/3/2014,4:00:00 PM,0.000352,0.000114714,0,0.000114714
66,5/3/2014,5:00:00 PM,0.000352,0.000113841,0,0.000113841
67,5/3/2014,6:00:00 PM,0.000352,0.00011298,0,0.00011298
68,5/3/2014,7:00:00 PM,0.000352,0.000112132,0,0.000112132
69,5/3/2014,8:00:00 PM,0.000352,0.000111297,0,0.000111297
70,5/3/2014,9:00:00 PM,0.000352,0.000110474,0,0.000110474
71,5/3/2014,10:00:00 PM,0.000385,0.000109664,0,0.000109664
72,5/3/2014,11:00:00 PM,0.000385,0.000108865,0,0.000108865
73,5/4/2014,12:00:00 AM,0.000396,0.000108077,0,0.000108077
74,5/4/2014,1:00:00 AM,0.000396,0.000107302,-2.17E-19,0.000107302
75,5/4/2014,2:00:00 AM,0.000396,0.000106537,0,0.000106537
76,5/4/2014,3:00:00 AM,0.000385,0.000163441,5.77E-05,0.000105783
77,5/4/2014,4:00:00 AM,0.000396,0.00013082,9.88E-06,0.000120939
78,5/4/2014,5:00:00 AM,0.000454,0.000121717,0,0.000121717
79,5/4/2014,6:00:00 AM,0.000508,0.000120733,0,0.000120733
