date,time,flow_cfs,flow_cms,flow_ms,flow_mh,Etp,avg_prec_mm,precip_m
5/3/2014,4:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,5:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,6:00:00 AM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,7:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,8:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,9:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,10:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,11:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,12:00:00 PM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,1:00:00 PM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,2:00:00 PM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,3:00:00 PM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,4:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,5:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,6:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,7:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,8:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,9:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,10:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/3/2014,11:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/4/2014,12:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0,0
5/4/2014,1:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,1.549999952,0.00155
5/4/2014,2:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0.349999994,0.00035
5/4/2014,3:00:00 AM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,2.800000191,0.0028
5/4/2014,4:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0.350000024,0.00035
5/4/2014,5:00:00 AM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/4/2014,6:00:00 AM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/4/2014,7:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0,0
5/4/2014,8:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0.200000003,0.0002
5/4/2014,9:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,2,0.002
5/4/2014,10:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,1.25,0.00125
5/4/2014,11:00:00 AM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/4/2014,12:00:00 PM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/4/2014,1:00:00 PM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/4/2014,2:00:00 PM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0.550000012,0.00055
5/4/2014,3:00:00 PM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0.400000006,0.0004
5/4/2014,4:00:00 PM,4.3223,0.122393791,1.60E-07,5.76E-04,0.000125,0.25,0.00025
5/4/2014,5:00:00 PM,5.3488,0.151461006,1.98E-07,7.13E-04,0.000125,0.200000003,0.0002
5/4/2014,6:00:00 PM,7.6513,0.216660484,2.83E-07,1.02E-03,0.000125,0.150000006,0.00015
5/4/2014,7:00:00 PM,7.8021,0.220930661,2.88E-07,1.04E-03,0.000125,0.450000018,0.00045
5/4/2014,8:00:00 PM,8.4227,0.238504079,3.11E-07,1.12E-03,0.000125,1.75,0.00175
5/4/2014,9:00:00 PM,8.2649,0.234035685,3.05E-07,1.10E-03,0.000125,1.049999952,0.00105
5/4/2014,10:00:00 PM,7.9546,0.225248976,2.94E-07,1.06E-03,0.000125,0.550000012,0.00055
5/4/2014,11:00:00 PM,7.8021,0.220930661,2.88E-07,1.04E-03,0.000125,0.450000018,0.00045
5/5/2014,12:00:00 AM,7.355,0.20827021,2.72E-07,9.79E-04,0.000125,0,0
5/5/2014,1:00:00 AM,6.7829,0.192070158,2.51E-07,9.04E-04,0.000125,0,0
5/5/2014,2:00:00 AM,6.3718,0.180429113,2.35E-07,8.46E-04,0.000125,0,0
5/5/2014,3:00:00 AM,5.9758,0.169215652,2.21E-07,7.96E-04,0.000125,0,0
5/5/2014,4:00:00 AM,5.5947,0.158424112,2.07E-07,7.45E-04,0.000125,0,0
5/5/2014,5:00:00 AM,5.1095,0.144684791,1.89E-07,6.80E-04,0.000125,0,0
5/5/2014,6:00:00 AM,4.9922,0.141363228,1.84E-07,6.62E-04,0.000125,0,0
5/5/2014,7:00:00 AM,4.6501,0.131676044,1.72E-07,6.19E-04,0.000125,0,0
5/5/2014,8:00:00 AM,4.43,0.125443512,1.64E-07,5.90E-04,0.000125,0,0
5/5/2014,9:00:00 AM,4.3223,0.122393791,1.60E-07,5.76E-04,0.000125,0,0
5/5/2014,10:00:00 AM,4.1116,0.116427437,1.52E-07,5.47E-04,0.000125,0,0
5/5/2014,11:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0,0
5/5/2014,12:00:00 PM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0,0
5/5/2014,1:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/5/2014,2:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/5/2014,3:00:00 PM,3.6118,0.10227469,1.33E-07,4.79E-04,0.000125,0,0
5/5/2014,4:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/5/2014,5:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/5/2014,6:00:00 PM,3.3301,0.094297842,1.23E-07,4.43E-04,0.000125,0,0
5/5/2014,7:00:00 PM,3.1498,0.089192319,1.16E-07,4.18E-04,0.000125,0,0
5/5/2014,8:00:00 PM,3.1498,0.089192319,1.16E-07,4.18E-04,0.000125,0,0
5/5/2014,9:00:00 PM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0,0
5/5/2014,10:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/5/2014,11:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/6/2014,12:00:00 AM,2.7248,0.077157671,1.01E-07,3.64E-04,0.000125,0,0
5/6/2014,1:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/6/2014,2:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/6/2014,3:00:00 AM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/6/2014,4:00:00 AM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/6/2014,5:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/6/2014,6:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/6/2014,7:00:00 AM,2.1899,0.062011004,8.09E-08,2.91E-04,0.000125,0,0
5/6/2014,8:00:00 AM,2.1899,0.062011004,8.09E-08,2.91E-04,0.000125,0,0
5/6/2014,9:00:00 AM,2.1899,0.062011004,8.09E-08,2.91E-04,0.000125,0,0
5/6/2014,10:00:00 AM,2.0497,0.058040986,7.57E-08,2.73E-04,0.000125,0,0
5/6/2014,11:00:00 AM,2.0497,0.058040986,7.57E-08,2.73E-04,0.000125,0,0
5/6/2014,12:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,1:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,2:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,3:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,4:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,5:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,6:00:00 PM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,0,0
5/6/2014,7:00:00 PM,1.8495,0.052371958,6.83E-08,2.46E-04,0.000125,0,0
5/6/2014,8:00:00 PM,1.8495,0.052371958,6.83E-08,2.46E-04,0.000125,0,0
5/6/2014,9:00:00 PM,1.7854,0.05055685,6.60E-08,2.38E-04,0.000125,0,0
5/6/2014,10:00:00 PM,1.7854,0.05055685,6.60E-08,2.38E-04,0.000125,0,0
5/6/2014,11:00:00 PM,1.7854,0.05055685,6.60E-08,2.38E-04,0.000125,0,0
5/7/2014,12:00:00 AM,1.7854,0.05055685,6.60E-08,2.38E-04,0.000125,0,0
5/7/2014,1:00:00 AM,1.7227,0.048781386,6.37E-08,2.29E-04,0.000125,0,0
5/7/2014,2:00:00 AM,1.7227,0.048781386,6.37E-08,2.29E-04,0.000125,0,0
5/7/2014,3:00:00 AM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/7/2014,4:00:00 AM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/7/2014,5:00:00 AM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/7/2014,6:00:00 AM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/7/2014,7:00:00 AM,1.5425,0.043678695,5.70E-08,2.05E-04,0.000125,0,0
5/7/2014,8:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/7/2014,9:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/7/2014,10:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/7/2014,11:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/7/2014,12:00:00 PM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/7/2014,1:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,2:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,3:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
