,date,hour,day_month,P,Qse,Qgw,streamFlow,norm_streamFlow,storageRatio,areaRatio
2439,2014-08-10,14:00:00,10-Aug,0.0,0.0,73.11632336135658,73.11632336135658,9.57019939284772e-05,0.9292914722059069,0.4828052592139391
2440,2014-08-10,15:00:00,10-Aug,0.0,0.0,73.11130394630078,73.11130394630078,9.56954240134827e-05,0.9291851437752113,0.4825836766058241
2441,2014-08-10,16:00:00,10-Aug,0.0,0.0,73.10628464610224,73.10628464610224,9.568885424882493e-05,0.9290788226442542,0.48236210920996303
2442,2014-08-10,17:00:00,10-Aug,0.0,0.0,73.10126546076357,73.10126546076357,9.56822846345073e-05,0.9289725088128686,0.482140557026008
2443,2014-08-10,18:00:00,10-Aug,0.0,0.0,73.09624639028743,73.09624639028743,9.567571517053329e-05,0.9288662022808875,0.4819349785737541
2444,2014-08-10,19:00:00,10-Aug,0.0,0.0,73.09122743467644,73.09122743467644,9.566914585690634e-05,0.9287599030481435,0.4817717840263436
2445,2014-08-10,20:00:00,10-Aug,0.0,0.0,73.08620859393321,73.08620859393321,9.566257669362985e-05,0.92865361111447,0.48160860068473826
2446,2014-08-10,21:00:00,10-Aug,0.0,0.0,73.0811898680604,73.0811898680604,9.565600768070734e-05,0.9285473264796997,0.48144542854868155
2447,2014-08-10,22:00:00,10-Aug,0.0,0.0,73.07617125706062,73.07617125706062,9.564943881814217e-05,0.9284410491436655,0.4812822676179167
2448,2014-08-10,23:00:00,10-Aug,0.0,0.0,73.0711527609365,73.0711527609365,9.564287010593782e-05,0.9283347791062005,0.4811191178921875
2449,2014-08-11,00:00:00,11-Aug,0.20000000298023224,73.51500230938512,73.06613437969068,146.5811366890758,0.00019186012655638193,0.9283438232315464,0.4811330027707933
2450,2014-08-11,01:00:00,11-Aug,0.6499999761581421,238.93064041205196,73.06656147862427,311.99720189067625,0.00040837330090402643,0.9286122971333703,0.4815451739198102
2451,2014-08-11,02:00:00,11-Aug,0.0,0.0,73.07923910726497,73.07923910726497,9.565345432888085e-05,0.9285060153356577,0.48138200613931015
2452,2014-08-11,03:00:00,11-Aug,0.0,0.0,73.07422054091735,73.07422054091735,9.564688552476093e-05,0.9283997408366161,0.48121884956400224
2453,2014-08-11,04:00:00,11-Aug,0.0,0.0,73.0692020894464,73.0692020894464,9.564031687100315e-05,0.9282934736360788,0.48105570419363025
2454,2014-08-11,05:00:00,11-Aug,0.0,0.0,73.06418375285477,73.06418375285477,9.563374836761096e-05,0.9281872137338786,0.48089257002793756
2455,2014-08-11,06:00:00,11-Aug,0.0,0.0,73.0591655311451,73.0591655311451,9.562718001458783e-05,0.9280809611298485,0.480729447066668
2456,2014-08-11,07:00:00,11-Aug,0.0,0.0,73.05414742431999,73.05414742431999,9.562061181193717e-05,0.9279747158238213,0.48056633530956466
2457,2014-08-11,08:00:00,11-Aug,0.0,0.0,73.0491294323821,73.0491294323821,9.561404375966243e-05,0.9278684778156299,0.4803770261836536
2458,2014-08-11,09:00:00,11-Aug,0.0,0.0,73.04411155533404,73.04411155533404,9.560747585776707e-05,0.9277622471051072,0.4801834032272919
2459,2014-08-11,10:00:00,11-Aug,0.0,0.0,73.03909379317844,73.03909379317844,9.56009081062545e-05,0.9276560236920863,0.47998979357182836
2460,2014-08-11,11:00:00,11-Aug,0.0,0.0,73.03407614591795,73.03407614591795,9.559434050512821e-05,0.9275498075764,0.4797961972169583
2461,2014-08-11,12:00:00,11-Aug,0.0,0.0,73.02905861355518,73.02905861355518,9.55877730543916e-05,0.9274435987578812,0.4796026141623771
2462,2014-08-11,13:00:00,11-Aug,0.0,0.0,73.02404119609277,73.02404119609277,9.558120575404812e-05,0.9273373972363627,0.47940904440778015
2463,2014-08-11,14:00:00,11-Aug,0.0,0.0,73.01902389353336,73.01902389353336,9.557463860410126e-05,0.9272312030116775,0.4792154879528631
2464,2014-08-11,15:00:00,11-Aug,0.0,0.0,73.01400670587957,73.01400670587957,9.55680716045544e-05,0.9271250160836585,0.47902194479732124
2465,2014-08-11,16:00:00,11-Aug,0.0,0.0,73.00898963313404,73.00898963313404,9.556150475541104e-05,0.9270188364521386,0.47882300913655024
2466,2014-08-11,17:00:00,11-Aug,0.0,0.0,73.0039726752994,73.0039726752994,9.55549380566746e-05,0.9269126641169505,0.47856880145206987
2467,2014-08-11,18:00:00,11-Aug,0.0,0.0,72.99895583237827,72.99895583237827,9.554837150834853e-05,0.9268064990779273,0.47831461123674646
2468,2014-08-11,19:00:00,11-Aug,0.0,0.0,72.9939391043733,72.9939391043733,9.554180511043626e-05,0.9267003413349018,0.4780604384901793
2469,2014-08-11,20:00:00,11-Aug,0.0,0.0,72.98892249128711,72.98892249128711,9.553523886294125e-05,0.9265941908877067,0.4778062832119685
2470,2014-08-11,21:00:00,11-Aug,0.0,0.0,72.98390599312233,72.98390599312233,9.552867276586693e-05,0.9264880477361751,0.47755214540171415
2471,2014-08-11,22:00:00,11-Aug,0.0,0.0,72.97888960988162,72.97888960988162,9.552210681921679e-05,0.9263819118801399,0.4772980250590159
2472,2014-08-11,23:00:00,11-Aug,0.0,0.0,72.9738733415676,72.9738733415676,9.551554102299424e-05,0.9262757833194337,0.4770439221834735
2473,2014-08-12,00:00:00,12-Aug,0.0,0.0,72.96885718818288,72.96885718818288,9.550897537720272e-05,0.9261696620538895,0.4767898367746866
2474,2014-08-12,01:00:00,12-Aug,0.0,0.0,72.96384114973011,72.96384114973011,9.55024098818457e-05,0.9260635480833402,0.47654599742596637
2475,2014-08-12,02:00:00,12-Aug,0.0,0.0,72.95882522621194,72.95882522621194,9.549584453692663e-05,0.9259574414076186,0.47632082582113766
2476,2014-08-12,03:00:00,12-Aug,0.0,0.0,72.95380941763096,72.95380941763096,9.54892793424489e-05,0.9258513420265574,0.47609566969648853
2477,2014-08-12,04:00:00,12-Aug,0.0,0.0,72.94879372398987,72.94879372398987,9.548271429841605e-05,0.9257452499399896,0.4758705290516647
2478,2014-08-12,05:00:00,12-Aug,0.0,0.0,72.94377814529123,72.94377814529123,9.547614940483146e-05,0.9256391651477481,0.47564540388631127
2479,2014-08-12,06:00:00,12-Aug,0.0,0.0,72.93876268153772,72.93876268153772,9.546958466169859e-05,0.9255330876496656,0.4754202942000732
