timestep,Precip_mm,Precip_m,hourly_discharge_cmd,hourly_discharge_cms
01/06/2007 11,0,0,449.85,0.005206597
01/06/2007 12,0,0,471.41,0.005456134
01/06/2007 13,0,0,471.41,0.005456134
01/06/2007 14,0,0,471.41,0.005456134
01/06/2007 15,0,0,471.41,0.005456134
01/06/2007 16,0,0,471.41,0.005456134
01/06/2007 17,0,0,471.41,0.005456134
01/06/2007 18,0,0,471.41,0.005456134
01/06/2007 19,0,0,471.41,0.005456134
01/06/2007 20,0,0,471.41,0.005456134
01/06/2007 21,0,0,471.41,0.005456134
01/06/2007 22,0,0,471.41,0.005456134
01/06/2007 23,0,0,471.41,0.005456134
01/07/2007 00,0,0,471.41,0.005456134
01/07/2007 01,0,0,471.41,0.005456134
01/07/2007 02,0,0,471.41,0.005456134
01/07/2007 03,0,0,471.41,0.005456134
01/07/2007 04,0,0,457.04,0.005289815
01/07/2007 05,0,0,435.48,0.005040278
01/07/2007 06,0,0,413.92,0.004790741
01/07/2007 07,0,0,392.36,0.004541204
01/07/2007 08,0,0,370.81,0.004291782
01/07/2007 09,0,0,349.25,0.004042245
01/07/2007 10,0,0,338.47,0.003917477
01/07/2007 11,0,0,338.47,0.003917477
01/07/2007 12,0,0,338.47,0.003917477
01/07/2007 13,0,0,338.47,0.003917477
01/07/2007 14,0,0,338.47,0.003917477
01/07/2007 15,0,0,345.65,0.004000579
01/07/2007 16,0,0,367.21,0.004250116
01/07/2007 17,0,0,416.39,0.004819329
01/07/2007 18,1,0.001,477.17,0.005522801
01/07/2007 19,3.6,0.0036,526.35,0.006092014
01/07/2007 20,3.8,0.0038,641.73,0.007427431
01/07/2007 21,3.4,0.0034,856.37,0.00991169
01/07/2007 22,2.7,0.0027,641.73,0.007427431
01/07/2007 23,1.8,0.0018,641.73,0.007427431
01/08/2007 00,1.2,0.0012,856.37,0.00991169
01/08/2007 01,0,0,856.37,0.00991169
01/08/2007 02,1.1,0.0011,856.37,0.00991169
01/08/2007 03,1.8,0.0018,856.37,0.00991169
01/08/2007 04,0.2,0.0002,1122.97,0.012997338
01/08/2007 05,0.1,0.0001,1122.97,0.012997338
01/08/2007 06,1,0.001,1449.92,0.016781481
01/08/2007 07,0.4,0.0004,1449.92,0.016781481
01/08/2007 08,1.2,0.0012,1449.92,0.016781481
01/08/2007 09,0,0,1846.36,0.021369907
01/08/2007 10,0,0,1846.36,0.021369907
01/08/2007 11,0,0,1449.92,0.016781481
01/08/2007 12,0,0,1449.92,0.016781481
01/08/2007 13,0,0,1449.92,0.016781481
01/08/2007 14,0,0,1449.92,0.016781481
01/08/2007 15,0,0,1449.92,0.016781481
01/08/2007 16,0,0,1449.92,0.016781481
01/08/2007 17,0,0,1122.97,0.012997338
01/08/2007 18,0,0,1122.97,0.012997338
01/08/2007 19,0,0,1122.97,0.012997338
01/08/2007 20,0,0,1122.97,0.012997338
01/08/2007 21,0,0,1122.97,0.012997338
01/08/2007 22,0,0,1122.97,0.012997338
01/08/2007 23,0,0,856.37,0.00991169
01/09/2007 00,0,0,856.37,0.00991169
01/09/2007 01,0,0,856.37,0.00991169
01/09/2007 02,0,0,856.37,0.00991169
01/09/2007 03,0,0,856.37,0.00991169
01/09/2007 04,0,0,856.37,0.00991169
01/09/2007 05,0,0,856.37,0.00991169
01/09/2007 06,0,0,856.37,0.00991169
01/09/2007 07,0,0,856.37,0.00991169
01/09/2007 08,0,0,856.37,0.00991169
01/09/2007 09,0,0,641.73,0.007427431
01/09/2007 10,0.1,0.0001,641.73,0.007427431
01/09/2007 11,0,0,641.73,0.007427431
01/09/2007 12,0,0,641.73,0.007427431
01/09/2007 13,0,0,641.73,0.007427431
01/09/2007 14,0,0,540.46,0.006255324
01/09/2007 15,0,0,512.84,0.005935648
01/09/2007 16,0,0,485.22,0.005615972
01/09/2007 17,0,0,471.41,0.005456134
01/09/2007 18,0,0,471.41,0.005456134
01/09/2007 19,0,0,471.41,0.005456134
01/09/2007 20,0,0,471.41,0.005456134
01/09/2007 21,0,0,471.41,0.005456134
01/09/2007 22,0,0,467.82,0.005414583
01/09/2007 23,0,0,446.26,0.005165046
01/10/2007 00,0.1,0.0001,424.7,0.004915509
01/10/2007 01,0.2,0.0002,403.14,0.004665972
01/10/2007 02,0.1,0.0001,381.58,0.004416435
01/10/2007 03,0,0,360.03,0.004167014
01/10/2007 04,0,0,338.47,0.003917477
01/10/2007 05,0,0,338.47,0.003917477
01/10/2007 06,0,0,338.47,0.003917477
01/10/2007 07,0,0,338.47,0.003917477
01/10/2007 08,0,0,338.47,0.003917477
01/10/2007 09,0,0,338.47,0.003917477
01/10/2007 10,0,0,338.47,0.003917477
01/10/2007 11,0,0,338.47,0.003917477
01/10/2007 12,0,0,330.21,0.003821875
01/10/2007 13,0,0,313.7,0.003630787
01/10/2007 14,0,0,297.19,0.003439699
01/10/2007 15,0,0,280.68,0.003248611
01/10/2007 16,0,0,264.17,0.003057523
01/10/2007 17,0,0,247.66,0.002866435
01/10/2007 18,0,0,236.65,0.002739005
01/10/2007 19,0,0,236.65,0.002739005
01/10/2007 20,0,0,236.65,0.002739005
01/10/2007 21,0,0,236.65,0.002739005
01/10/2007 22,0,0,236.65,0.002739005
01/10/2007 23,0,0,236.65,0.002739005
01/11/2007 00,0,0,236.65,0.002739005
01/11/2007 01,0,0,236.65,0.002739005
01/11/2007 02,0,0,236.65,0.002739005
01/11/2007 03,0,0,236.65,0.002739005
01/11/2007 04,0,0,236.65,0.002739005
01/11/2007 05,0,0,236.65,0.002739005
01/11/2007 06,0,0,234.59,0.002715162
01/11/2007 07,0,0,226.35,0.002619792
01/11/2007 08,0,0,216.04,0.002500463
01/11/2007 09,0,0,216.04,0.002500463
01/11/2007 10,0,0,216.04,0.002500463
01/11/2007 11,0,0,216.04,0.002500463
01/11/2007 12,0,0,218.1,0.002524306
01/11/2007 13,0,0,224.28,0.002595833
01/11/2007 14,0,0,228.41,0.002643634
01/11/2007 15,0,0,218.1,0.002524306
01/11/2007 16,0,0,205.73,0.002381134
01/11/2007 17,0,0,193.37,0.002238079
01/11/2007 18,0,0,181,0.002094907
01/11/2007 19,0,0,168.63,0.001951736
01/11/2007 20,0,0,160.39,0.001856366
01/11/2007 21,0,0,160.39,0.001856366
01/11/2007 22,0,0,160.39,0.001856366
01/11/2007 23,0,0,160.39,0.001856366
01/12/2007 00,0,0,160.39,0.001856366
01/12/2007 01,0,0,160.39,0.001856366
01/12/2007 02,0,0,160.39,0.001856366
01/12/2007 03,0,0,160.39,0.001856366
01/12/2007 04,0,0,160.39,0.001856366
01/12/2007 05,0.4,0.0004,160.39,0.001856366
01/12/2007 06,0.1,0.0001,160.39,0.001856366
01/12/2007 07,0,0,160.39,0.001856366
01/12/2007 08,0,0,160.39,0.001856366
01/12/2007 09,0,0,160.39,0.001856366
01/12/2007 10,0,0,160.39,0.001856366
01/12/2007 11,0,0,160.39,0.001856366
01/12/2007 12,0,0,160.39,0.001856366
01/12/2007 13,0,0,160.39,0.001856366
01/12/2007 14,0,0,160.39,0.001856366
01/12/2007 15,0,0,160.39,0.001856366
01/12/2007 16,0,0,160.39,0.001856366
01/12/2007 17,0,0,160.39,0.001856366
01/12/2007 18,0,0,160.39,0.001856366
01/12/2007 19,0,0,160.39,0.001856366
01/12/2007 20,0,0,160.39,0.001856366
01/12/2007 21,0,0,172.75,0.001999421
