Precip_2016_mm,Precip_2016_m,Streamflow_l/s,Streamflow_m3/day
0.3,0.0003,0.061,5.2704
0,0,0.035,3.024
0,0,0.033,2.8512
7.4,0.0074,0.063,5.4432
0.6,0.0006,0.065,5.616
0,0,0.051,4.4064
0,0,0.028,2.4192
0,0,0.024,2.0736
2,0.002,0.024,2.0736
0.5,0.0005,0.024,2.0736
0,0,0.024,2.0736
0,0,0.027,2.3328
3.8,0.0038,0.052,4.4928
0,0,0.041,3.5424
56.9,0.0569,1.123,97.0272
17,0.017,2.368,204.5952
3.4,0.0034,7.22,623.808
0,0,0.959,82.8576
10.1,0.0101,0.714,61.6896
1.1,0.0011,1.308,113.0112
0,0,0.586,50.6304
0,0,0.267,23.0688
0,0,0.166,14.3424
9.6,0.0096,0.133,11.4912
18,0.018,7.777,671.9328
0,0,1.448,125.1072
0,0,0.518,44.7552
0,0,0.275,23.76
10.1,0.0101,0.458,39.5712
0,0,0.295,25.488
0.8,0.0008,0.159,13.7376
0,0,0.187,16.1568
0,0,0.158,13.6512
0.3,0.0003,0.143,12.3552
0,0,0.133,11.4912
0,0,0.119,10.2816
0,0,0.11,9.504
0,0,0.109,9.4176
0,0,0.092,7.9488
0,0,0.078,6.7392
0,0,0.071,6.1344
0,0,0.07,6.048
0,0,0.059,5.0976
0.6,0.0006,0.052,4.4928
15.3,0.0153,0.564,48.7296
0,0,0.234,20.2176
0,0,0.17,14.688
0,0,0.146,12.6144
0,0,0.13,11.232
0,0,0.119,10.2816
0,0,0.104,8.9856
3.8,0.0038,0.164,14.1696
9.3,0.0093,0.326,28.1664
0,0,0.243,20.9952
0,0,0.141,12.1824
0,0,0.113,9.7632
7.4,0.0074,0.178,15.3792
0,0,0.159,13.7376
0,0,0.151,13.0464
0,0,0.112,9.6768
10.9,0.0109,0.215,18.576
0,0,0.134,11.5776
0,0,0.107,9.2448
0,0,0.09,7.776
1.2,0.0012,0.079,6.8256
0.6,0.0006,0.083,7.1712
8.6,0.0086,0.109,9.4176
1.8,0.0018,0.138,11.9232
0,0,0.067,5.7888
0,0,0.062,5.3568
0,0,0.06,5.184
1.5,0.0015,0.056,4.8384
0.3,0.0003,0.057,4.9248
0,0,0.053,4.5792
0,0,0.057,4.9248
0,0,0.057,4.9248
5.6,0.0056,0.066,5.7024
0,0,0.063,5.4432
0,0,0.045,3.888
6.7,0.0067,0.041,3.5424
0,0,0.147,12.7008
0,0,0.107,9.2448
0.6,0.0006,0.142,12.2688
4.8,0.0048,0.158,13.6512
25.4,0.0254,0.698,60.3072
10.1,0.0101,3.448,297.9072
11.5,0.0115,1.985,171.504
0,0,0.874,75.5136
1.5,0.0015,0.658,56.8512
0,0,0.433,37.4112
13.1,0.0131,0.345,29.808
19.4,0.0194,6.533,564.4512
14.1,0.0141,12.104,1045.7856
0,0,13.392,1157.0688
0.6,0.0006,3.966,342.6624
0,0,1.97,170.208
0,0,1.82,157.248
25.4,0.0254,16.438,1420.2432
0.6,0.0006,5.867,506.9088
0,0,2.442,210.9888
0.9,0.0009,1.617,139.7088
0,0,1.156,99.8784
0,0,0.836,72.2304
0,0,0.729,62.9856
0,0,0.628,54.2592
3.2,0.0032,0.555,47.952
0,0,0.449,38.7936
0,0,0.433,37.4112
0,0,0.378,32.6592
13.4,0.0134,0.51,44.064
3.3,0.0033,4.343,375.2352
0,0,3.071,265.3344
0,0,1.518,131.1552
0,0,1.009,87.1776
8.7,0.0087,1.125,97.2
5.1,0.0051,1.109,95.8176
0,0,0.761,65.7504
0,0,0.619,53.4816
7.5,0.0075,0.485,41.904
5.6,0.0056,0.481,41.5584
1.2,0.0012,0.622,53.7408
0,0,0.789,68.1696
0,0,0.616,53.2224
29.2,0.0292,2.976,257.1264
5.7,0.0057,14.093,1217.6352
18.9,0.0189,23.847,2060.3808
4.6,0.0046,5.244,453.0816
0.3,0.0003,2.503,216.2592
0,0,1.573,135.9072
12.4,0.0124,1.197,103.4208
0,0,1.006,86.9184
4.5,0.0045,0.826,71.3664
4.3,0.0043,0.763,65.9232
2.9,0.0029,0.685,59.184
0,0,0.53,45.792
1.8,0.0018,0.481,41.5584
29.8,0.0298,0.48,41.472
5.8,0.0058,0.469,40.5216
0.9,0.0009,0.481,41.5584
2.4,0.0024,0.477,41.2128
0.3,0.0003,0.433,37.4112
20.5,0.0205,0.433,37.4112
18.4,0.0184,4.519,390.4416
0,0,3.137,271.0368
0,0,1.515,130.896
0,0,1.149,99.2736
9.9,0.0099,0.888,76.7232
0,0,0.775,66.96
2.5,0.0025,0.764,66.0096
0,0,0.669,57.8016
2.4,0.0024,0.586,50.6304
4.5,0.0045,1.61,139.104
1.5,0.0015,1.551,134.0064
23.2,0.0232,1.196,103.3344
2.7,0.0027,0.984,85.0176
2.1,0.0021,0.792,68.4288
