Timestep,Cell_1,Cell_2,Cell_3
173,0.054043722,0.107812417,0.161333915
174,0.053752437,0.10723428,0.160472738
175,0.05346428,0.106662302,0.159620676
176,0.0531792,0.106096386,0.158777585
177,0.052897148,0.105536437,0.157943325
178,0.052618076,0.10498236,0.157117759
179,0.052341937,0.104434064,0.156300751
180,0.052068685,0.10389146,0.155492169
181,0.051798274,0.103354458,0.154691885
182,0.051530662,0.102822973,0.153899772
183,0.051265804,0.10229692,0.153115705
184,0.051003658,0.101776218,0.152339563
185,0.050744183,0.101260783,0.151571228
186,0.050487338,0.100750538,0.150810581
187,0.050233084,0.100245404,0.150057509
188,0.04998138,0.099745305,0.1493119
189,0.049732189,0.099250166,0.148573643
190,0.049485474,0.098759915,0.14784263
191,0.049241198,0.098274478,0.147118756
192,0.048999324,0.097793785,0.146401917
193,0.048759818,0.097317768,0.145692012
194,0.048522645,0.096846358,0.14498894
195,0.048287771,0.09637949,0.144292603
196,0.048055162,0.095917097,0.143602906
197,0.047824786,0.095459116,0.142919754
198,0.047596611,0.095005484,0.142243055
199,0.047370606,0.09455614,0.141572717
200,0.047146739,0.094111023,0.140908653
201,0.04692498,0.093670073,0.140250775
202,0.046705301,0.093233233,0.139598996
203,0.046487671,0.092800446,0.138953233
204,0.046272062,0.092371655,0.138313403
205,0.046058446,0.091946805,0.137679424
206,0.045846796,0.091525843,0.137051218
207,0.045637084,0.091108715,0.136428705
208,0.045429285,0.09069537,0.135811809
209,0.045223371,0.090285755,0.135200455
210,0.045019317,0.089879821,0.134594568
211,0.044817099,0.089477519,0.133994075
212,0.044616691,0.089078799,0.133398905
213,0.044418069,0.088683616,0.132808988
214,0.04422121,0.08829192,0.132224254
215,0.044026091,0.087903668,0.131644637
216,0.043832687,0.087518813,0.131070068
217,0.043640977,0.087137311,0.130500482
218,0.043450939,0.086759118,0.129935816
219,0.04326255,0.086384193,0.129376005
220,0.043075789,0.086012492,0.128820988
221,0.042890636,0.085643975,0.128270704
222,0.042707069,0.0852786,0.127725092
223,0.042525069,0.084916327,0.127184092
224,0.042344615,0.084557118,0.126647648
225,0.042165687,0.084200934,0.126115702
226,0.041988267,0.083847736,0.125588197
227,0.041812335,0.083497487,0.125065079
228,0.041647911,0.083150151,0.124546292
229,0.041647911,0.082805774,0.124031784
230,0.041647911,0.082465664,0.123521503
231,0.041647911,0.082129744,0.123015415
232,0.041647911,0.081797939,0.122513485
233,0.041647911,0.081470179,0.122015679
234,0.041647911,0.081146391,0.121521962
235,0.041647911,0.080826508,0.121032299
236,0.041647911,0.08051046,0.120546656
237,0.041647911,0.080198183,0.120064998
238,0.041647911,0.079889612,0.11958729
239,0.041647911,0.079584684,0.119113497
